ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60638,24,06/07/2020,06/13/2020,32,1112,54,1891.3,377,4754,641,8085.4,0.1,0.2,2,32,3.4,54.4,58797,60638-24,POINT (-87.771902 41.787032)
60638,25,06/14/2020,06/20/2020,22,1134,37,1928.7,354,5108,602,8687.5,0.1,0.2,1,33,1.7,56.1,58797,60638-25,POINT (-87.771902 41.787032)
60638,42,10/11/2020,10/17/2020,184,2474,313,4207.7,707,14705,1202,25009.8,0.3,0.2,0,49,0.0,83.3,58797,60638-42,POINT (-87.771902 41.787032)
60639,42,10/11/2020,10/17/2020,252,5298,278,5853,1096,25182,1211,27820.2,0.2,0.2,0,122,0.0,134.8,90517,60639-42,POINT (-87.75531 41.920609)
60640,42,10/11/2020,10/17/2020,77,1432,110,2054.1,810,19240,1162,27598.1,0.1,0.1,0,89,0.0,127.7,69715,60640-42,POINT (-87.662232 41.971888)
60641,33,08/09/2020,08/15/2020,71,2011,100,2831.5,850,13504,1197,19013.6,0.1,0.1,1,54,1.4,76.0,71023,60641-33,POINT (-87.746791 41.946682)
60641,42,10/11/2020,10/17/2020,166,2850,234,4012.8,902,19981,1270,28133.1,0.2,0.1,0,61,0.0,85.9,71023,60641-42,POINT (-87.746791 41.946682)
60642,42,10/11/2020,10/17/2020,42,468,208,2316.7,383,6756,1896,33443.9,0.1,0.1,0,13,0.0,64.4,20201,60642-42,POINT (-87.657821 41.899935)
60643,25,06/14/2020,06/20/2020,14,749,28,1501.9,452,4924,906,9873.7,0.0,0.2,1,63,2.0,126.3,49870,60643-25,POINT (-87.662381 41.700445)
60643,26,06/21/2020,06/27/2020,21,770,42,1544,491,5415,985,10858.2,0.0,0.1,0,63,0.0,126.3,49870,60643-26,POINT (-87.662381 41.700445)
60643,42,10/11/2020,10/17/2020,88,1371,176,2749.1,490,14132,983,28337.7,0.2,0.1,0,77,0.0,154.4,49870,60643-42,POINT (-87.662381 41.700445)
60644,42,10/11/2020,10/17/2020,37,1734,78,3634.3,326,11730,683,24585,0.1,0.1,0,93,0.0,194.9,47712,60644-42,POINT (-87.756863 41.881113)
60645,41,10/04/2020,10/10/2020,33,1522,69,3188.6,428,11368,897,23816.3,0.1,0.1,1,70,2.1,146.7,47732,60645-41,POINT (-87.695049 42.008927)
60645,42,10/11/2020,10/17/2020,56,1578,117,3306,568,11936,1190,25006.3,0.1,0.1,0,70,0.0,146.7,47732,60645-42,POINT (-87.695049 42.008927)
60646,24,06/07/2020,06/13/2020,11,384,39,1372.1,213,2199,761,7857.2,0.1,0.2,2,40,7.1,142.9,27987,60646-24,POINT (-87.761826 41.993931)
60646,25,06/14/2020,06/20/2020,7,391,25,1397.1,258,2457,922,8779.1,0.0,0.2,0,40,0.0,142.9,27987,60646-25,POINT (-87.761826 41.993931)
60646,26,06/21/2020,06/27/2020,7,398,25,1422.1,275,2732,983,9761.7,0.0,0.1,0,40,0.0,142.9,27987,60646-26,POINT (-87.761826 41.993931)
60646,27,06/28/2020,07/04/2020,6,404,21,1443.5,317,3049,1133,10894.3,0.0,0.1,1,41,3.6,146.5,27987,60646-27,POINT (-87.761826 41.993931)
60646,28,07/05/2020,07/11/2020,12,416,43,1486.4,269,3318,961,11855.5,0.0,0.1,1,42,3.6,150.1,27987,60646-28,POINT (-87.761826 41.993931)
60646,29,07/12/2020,07/18/2020,2,418,7,1493.6,271,3589,968,12823.8,0.0,0.1,0,42,0.0,150.1,27987,60646-29,POINT (-87.761826 41.993931)
60646,30,07/19/2020,07/25/2020,9,427,32,1525.7,295,3884,1054,13877.9,0.0,0.1,0,42,0.0,150.1,27987,60646-30,POINT (-87.761826 41.993931)
60646,31,07/26/2020,08/01/2020,15,442,54,1579.3,307,4191,1097,14974.8,0.0,0.1,0,42,0.0,150.1,27987,60646-31,POINT (-87.761826 41.993931)
60646,32,08/02/2020,08/08/2020,15,457,54,1632.9,319,4510,1140,16114.6,0.0,0.1,0,42,0.0,150.1,27987,60646-32,POINT (-87.761826 41.993931)
60646,33,08/09/2020,08/15/2020,13,470,46,1679.4,315,4825,1126,17240.1,0.0,0.1,1,43,3.6,153.6,27987,60646-33,POINT (-87.761826 41.993931)
60646,34,08/16/2020,08/22/2020,16,486,57,1736.5,328,5153,1172,18412.1,0.0,0.1,0,43,0.0,153.6,27987,60646-34,POINT (-87.761826 41.993931)
60646,35,08/23/2020,08/29/2020,30,516,107,1843.7,279,5432,997,19409,0.1,0.1,0,43,0.0,153.6,27987,60646-35,POINT (-87.761826 41.993931)
60646,42,10/11/2020,10/17/2020,50,685,179,2447.6,399,7450,1426,26619.5,0.1,0.1,0,44,0.0,157.2,27987,60646-42,POINT (-87.761826 41.993931)
60647,12,03/15/2020,03/21/2020,13,21,15,24,105,129,120,147.4,0.1,0.2,0,0,0.0,0.0,87509,60647-12,POINT (-87.701101 41.921058)
60647,28,07/05/2020,07/11/2020,52,1592,59,1819.2,1428,11141,1632,12731.3,0.0,0.1,0,89,0.0,101.7,87509,60647-28,POINT (-87.701101 41.921058)
60647,29,07/12/2020,07/18/2020,60,1652,69,1887.8,1601,12742,1830,14560.8,0.0,0.1,2,91,2.3,104.0,87509,60647-29,POINT (-87.701101 41.921058)
60647,32,08/02/2020,08/08/2020,83,1862,95,2127.8,1486,16882,1698,19291.7,0.1,0.1,0,92,0.0,105.1,87509,60647-32,POINT (-87.701101 41.921058)
60647,33,08/09/2020,08/15/2020,62,1924,71,2198.6,1254,18136,1433,20724.7,0.0,0.1,1,93,1.1,106.3,87509,60647-33,POINT (-87.701101 41.921058)
60647,34,08/16/2020,08/22/2020,76,2000,87,2285.5,1250,19386,1428,22153.1,0.1,0.1,0,93,0.0,106.3,87509,60647-34,POINT (-87.701101 41.921058)
60647,35,08/23/2020,08/29/2020,71,2071,81,2366.6,1240,20626,1417,23570.1,0.1,0.1,0,93,0.0,106.3,87509,60647-35,POINT (-87.701101 41.921058)
60647,36,08/30/2020,09/05/2020,47,2118,54,2420.3,1129,21755,1290,24860.3,0.0,0.1,0,93,0.0,106.3,87509,60647-36,POINT (-87.701101 41.921058)
60647,37,09/06/2020,09/12/2020,60,2178,69,2488.9,983,22738,1123,25983.6,0.1,0.1,0,93,0.0,106.3,87509,60647-37,POINT (-87.701101 41.921058)
60601,37,09/06/2020,09/12/2020,33,195,225,1328.8,837,3891,5704,26514.5,0.0,0.0,0,5,0.0,34.1,14675,60601-37,POINT (-87.622844 41.886262)
60634,11,03/08/2020,03/14/2020,,,,,6,9,8,11.8,,,0,0,0.0,0.0,75995,60634-11,POINT (-87.797373 41.944967)
